Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,16.3,0.0
88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,16.5,5.07476e-24
88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,16.7,1.0840800000000001e-23
88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,17.0,2.21861e-23
88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,17.3,3.81136e-23
88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,17.5,5.1776700000000004e-23
88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,17.8,7.72737e-23
88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,18.0,9.7735e-23
88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,19.0,2.41358e-22
88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,20.0,4.46403e-22
88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,30.0,3.42933e-21
88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,40.0,5.61161e-21
88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,50.0,6.826289999999999e-21
88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,60.0,7.43665e-21
88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,70.0,7.692779999999999e-21
88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,80.0,7.74311e-21
88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,90.0,7.674219999999999e-21
88,IONIZATION,C2H5 -> H2 H C2H2^+,16.3,e / C2H5,E + C2H5 -> E + E + H2 + H + C2H2^+,100.0,7.537099999999999e-21
