       Time_s           01           02           03           04           05
   0.0000E+00   3.3200E+02   2.9815E+02   0.0000E+00   0.0000E+00   0.0000E+00
   1.0000E-04   3.3200E+02   2.9815E+02   5.5733E+04   9.3265E-04   7.6172E+01
   2.0000E-04   3.3200E+02   2.9815E+02   5.5733E+04   9.3264E-04   7.6171E+01
   3.0000E-04   3.3200E+02   2.9815E+02   5.5733E+04   9.3262E-04   7.6169E+01
   4.0000E-04   3.3200E+02   2.9815E+02   5.5733E+04   9.3261E-04   7.6168E+01
   5.0000E-04   3.3200E+02   2.9815E+02   5.5733E+04   9.3259E-04   7.6167E+01
   6.0000E-04   3.3200E+02   2.9815E+02   5.5733E+04   9.3258E-04   7.6166E+01
   7.0000E-04   3.3200E+02   2.9815E+02   5.5733E+04   9.3257E-04   7.6165E+01
   8.0000E-04   3.3200E+02   2.9815E+02   5.5733E+04   9.3255E-04   7.6164E+01
   9.0000E-04   3.3200E+02   2.9815E+02   5.5733E+04   9.3254E-04   7.6163E+01
   1.0000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3253E-04   7.6163E+01
   1.1000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3252E-04   7.6162E+01
   1.2000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3252E-04   7.6162E+01
   1.3000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3251E-04   7.6161E+01
   1.4000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3250E-04   7.6160E+01
   1.5000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3249E-04   7.6160E+01
   1.6000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3248E-04   7.6159E+01
   1.7000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3248E-04   7.6159E+01
   1.8000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3247E-04   7.6158E+01
   1.9000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3246E-04   7.6158E+01
   2.0000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3245E-04   7.6157E+01
   2.1000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3245E-04   7.6156E+01
   2.2000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3244E-04   7.6156E+01
   2.3000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3243E-04   7.6155E+01
   2.4000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3242E-04   7.6155E+01
   2.5000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3241E-04   7.6154E+01
   2.6000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3240E-04   7.6153E+01
   2.7000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3240E-04   7.6153E+01
   2.8000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3239E-04   7.6152E+01
   2.9000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3238E-04   7.6152E+01
   3.0000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3237E-04   7.6151E+01
   3.1000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3236E-04   7.6150E+01
   3.2000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3235E-04   7.6150E+01
   3.3000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3234E-04   7.6149E+01
   3.4000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3233E-04   7.6148E+01
   3.5000E-03   3.3200E+02   2.9815E+02   5.5733E+04   9.3233E-04   7.6148E+01
